,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Mikal Bridges,36:18,6,14,.429,2,6,.333,5,7,.714,0,5,5,1,1,1,2,2,19,11.9,+11
1,Dorian Finney-Smith,33:19,2,8,.250,0,3,.000,0,0,,5,2,7,1,1,0,0,2,4,4.2,-11
2,Cameron Johnson,33:18,6,11,.545,3,5,.600,1,1,1.000,1,6,7,3,0,0,1,1,16,13.9,+6
3,Nic Claxton,29:34,4,10,.400,0,0,,3,5,.600,4,8,12,2,0,3,1,0,11,12.5,+7
4,Spencer Dinwiddie,27:19,5,16,.313,3,10,.300,4,6,.667,2,6,8,6,1,0,1,2,17,13.6,+12
5,Cam Thomas,24:01,6,15,.400,0,1,.000,3,6,.500,0,1,1,3,0,0,1,0,15,7.1,-14
6,Dennis Smith Jr.,20:17,2,6,.333,0,1,.000,1,2,.500,0,2,2,3,2,0,0,3,5,4.7,-21
7,Day'Ron Sharpe,18:19,5,7,.714,0,0,,0,0,,5,4,9,3,0,0,2,3,10,10.7,-10
8,Royce O'Neale,17:35,3,4,.750,1,2,.500,0,0,,1,2,3,2,0,0,2,0,7,6.1,-10
9,Harry Giles,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Lonnie Walker IV,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Trendon Watford,Did Not Play,,,,,,,,,,,,,,,,,,,,
