,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Franz Wagner,39:23,.725,.658,.263,.368,5.1,20.8,12.3,9.2,4.6,2.2,15.3,26.1,127,96,12.2
1,Paolo Banchero,35:38,.597,.526,.316,.632,2.8,29.6,15.1,19.3,1.3,2.4,7.6,29.1,123,102,7.5
2,Jalen Suggs,31:02,.595,.600,.467,.400,0.0,7.5,3.5,33.6,0.0,2.8,14.5,26.3,111,108,2.3
3,Goga Bitadze,30:26,.564,.500,.000,1.000,9.9,15.4,12.4,0.0,1.5,5.6,14.8,17.5,108,101,-2.6
4,Anthony Black,29:23,1.000,1.000,.000,.000,6.8,15.9,11.0,22.2,3.1,0.0,33.3,4.0,158,102,4.8
5,Cole Anthony,23:25,.461,.375,.375,.500,0.0,10.0,4.6,30.3,3.9,0.0,9.3,18.1,108,101,2.6
6,Caleb Houstan,20:47,.000,.000,1.000,.000,9.6,0.0,5.2,0.0,0.0,0.0,16.7,11.4,26,111,-15.9
7,Moritz Wagner,17:34,.376,.250,.375,.375,22.8,46.7,33.8,7.9,0.0,4.9,9.7,23.2,99,100,-3.1
8,Chuma Okeke,12:22,.200,.200,.800,.000,0.0,0.0,0.0,10.7,0.0,0.0,0.0,16.0,58,111,-12.5
9,Wendell Carter Jr.,Did Not Play,,,,,,,,,,,,,,,
10,Trevelin Queen,Did Not Play,,,,,,,,,,,,,,,
