,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Pascal Siakam,40:21,.795,.775,.400,.300,0.0,13.8,6.6,9.0,1.2,0.0,4.2,24.3,150,120,10.8
1,Jakob Poeltl,37:07,.632,.625,.000,.875,11.0,21.1,15.8,14.6,0.0,7.3,26.5,16.9,111,115,-0.1
2,Scottie Barnes,35:58,.498,.441,.294,.412,2.8,15.5,8.9,20.4,1.3,2.5,0.0,23.2,117,117,2.3
3,RJ Barrett,29:25,.612,.542,.167,.667,10.4,22.8,16.3,5.1,0.0,0.0,24.4,29.0,100,121,-7.3
4,Immanuel Quickley,28:01,.489,.462,.385,.231,0.0,23.9,11.4,15.4,3.3,0.0,0.0,21.2,110,113,0.3
5,Dennis Schröder,29:42,.595,.500,.714,1.000,0.0,11.3,5.4,34.8,0.0,0.0,9.0,15.5,134,123,1.2
6,Gary Trent Jr.,26:04,.414,.350,.500,.200,7.8,17.1,12.3,10.1,1.8,0.0,0.0,17.3,106,118,-2.2
7,Chris Boucher,11:21,,,,,0.0,9.8,4.7,0.0,0.0,0.0,,0.0,0,123,-5.8
8,Thaddeus Young,2:01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124,-7.2
9,Gradey Dick,Did Not Play,,,,,,,,,,,,,,,
10,Javon Freeman-Liberty,Did Not Play,,,,,,,,,,,,,,,
11,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,
12,Jontay Porter,Did Not Play,,,,,,,,,,,,,,,
13,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,
14,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,
