,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Simone Fontecchio,29:00,10,16,.625,3,8,.375,1,1,1.000,0,6,6,2,2,1,1,0,24,21.7,+27
1,Lauri Markkanen,24:45,6,12,.500,4,8,.500,1,1,1.000,2,2,4,1,1,1,1,0,17,14.4,+8
2,Kris Dunn,20:30,3,4,.750,1,1,1.000,0,0,,0,3,3,7,0,0,2,2,7,8.4,-1
3,Collin Sexton,18:53,2,8,.250,0,3,.000,4,4,1.000,1,2,3,6,0,0,1,1,8,7.3,+1
4,John Collins,17:38,7,13,.538,0,5,.000,1,1,1.000,0,5,5,1,1,0,0,1,15,11.5,-1
5,Keyonte George,28:55,3,8,.375,2,6,.333,6,6,1.000,0,3,3,3,0,0,0,1,14,12.2,+38
6,Jordan Clarkson,27:42,8,16,.500,1,6,.167,3,3,1.000,2,8,10,11,1,0,4,4,20,18.9,+36
7,Walker Kessler,26:34,5,6,.833,0,1,.000,1,2,.500,0,10,10,0,1,4,1,2,11,13.4,+37
8,Kelly Olynyk,19:27,3,3,1.000,1,1,1.000,0,0,,0,5,5,6,3,0,1,3,7,12.6,+28
9,Ochai Agbaji,19:00,1,6,.167,0,5,.000,0,0,,1,1,2,0,0,0,1,1,2,-2.2,+10
10,Luka Šamanić,3:48,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,0,0,2,0.3,+1
11,Omer Yurtseven,3:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
12,Talen Horton-Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,,
