,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Alperen Sengun,27:28,9,13,.692,0,2,.000,8,9,.889,1,3,4,9,3,0,2,3,26,27.8,+20
1,Jalen Green,27:28,6,12,.500,5,9,.556,5,6,.833,0,5,5,1,1,0,0,0,22,18.8,+20
2,Jabari Smith Jr.,26:57,3,7,.429,3,5,.600,0,0,,0,6,6,1,0,1,1,1,9,7.1,+20
3,Jae'Sean Tate,26:13,6,10,.600,0,2,.000,4,6,.667,0,3,3,0,1,0,1,6,16,9.1,+15
4,Fred VanVleet,25:57,6,11,.545,3,6,.500,0,0,,0,1,1,7,1,0,1,1,15,14.5,+20
5,Amen Thompson,28:26,5,6,.833,1,1,1.000,1,1,1.000,1,3,4,6,2,0,2,3,12,14.4,+10
6,Tari Eason,23:36,8,15,.533,1,4,.250,0,0,,2,2,4,1,3,0,0,3,17,14.2,+16
7,Reggie Bullock,14:08,3,5,.600,1,2,.500,0,0,,0,2,2,2,0,0,1,0,7,5.7,-3
8,Aaron Holiday,10:39,0,3,.000,0,1,.000,0,0,,1,2,3,4,0,0,0,1,0,1.6,+8
9,Jeff Green,8:32,1,2,.500,0,1,.000,1,2,.500,0,2,2,2,0,0,1,0,3,2.6,+6
10,Cam Whitmore,7:33,4,5,.800,1,1,1.000,0,0,,1,3,4,0,0,0,0,0,9,8.7,-2
11,Jock Landale,6:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
12,Boban Marjanović,6:05,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.8,-10
13,Dillon Brooks,Did Not Play,,,,,,,,,,,,,,,,,,,,
