,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Devin Vassell,34:06,3,8,.375,1,2,.500,4,5,.800,1,1,2,3,1,1,2,2,11,8.2,-7
1,Jeremy Sochan,27:44,4,6,.667,1,2,.500,3,4,.750,0,2,2,1,0,2,1,1,12,10.3,+1
2,Victor Wembanyama,26:04,8,16,.500,2,5,.400,2,4,.500,0,7,7,1,0,4,1,0,20,15.8,-12
3,Julian Champagnie,22:28,3,6,.500,3,6,.500,3,3,1.000,0,4,4,2,1,0,1,4,12,10.0,+12
4,Malaki Branham,7:29,1,5,.200,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-0.5,-3
5,Keldon Johnson,31:13,7,16,.438,1,4,.250,4,5,.800,1,5,6,4,1,0,3,4,19,11.6,-15
6,Tre Jones,25:02,1,6,.167,0,3,.000,0,0,,0,4,4,4,1,0,0,2,2,2.4,+8
7,Blake Wesley,21:23,5,8,.625,0,2,.000,0,2,.000,0,1,1,1,2,0,1,4,10,6.0,-4
8,Doug McDermott,16:13,1,4,.250,1,4,.250,0,0,,0,0,0,0,0,0,0,0,3,0.6,-9
9,Dominick Barlow,13:46,2,6,.333,0,0,,0,0,,4,3,7,2,0,0,2,4,4,2.1,-6
10,Cedi Osman,12:29,0,3,.000,0,2,.000,0,0,,0,6,6,2,0,0,2,2,0,-1.7,-9
11,Sandro Mamukelashvili,2:03,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,1,1,0,3,2.4,+4
12,Mamadi Diakite,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,,,,,,
