,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Saddiq Bey,35:37,3,12,.250,2,8,.250,2,2,1.000,2,6,8,2,0,1,0,2,10,7.3,+6
1,Dejounte Murray,35:24,8,18,.444,2,5,.400,4,4,1.000,2,4,6,6,0,0,3,2,22,15.6,+4
2,Trae Young,33:57,6,13,.462,2,9,.222,10,11,.909,0,4,4,11,2,0,6,2,24,21.0,-9
3,Jalen Johnson,28:56,11,18,.611,2,4,.500,4,4,1.000,1,6,7,3,4,0,1,5,28,25.4,-1
4,Clint Capela,25:16,5,8,.625,0,0,,2,2,1.000,7,7,14,0,0,3,0,2,12,16.7,-9
5,Bogdan Bogdanović,27:44,7,16,.438,5,11,.455,4,4,1.000,0,1,1,4,1,0,0,2,23,17.9,+11
6,Onyeka Okongwu,22:01,3,4,.750,0,0,,5,5,1.000,3,4,7,0,1,0,0,2,11,12.9,+14
7,Garrison Mathews,16:46,2,3,.667,1,2,.500,0,1,.000,0,0,0,2,0,0,1,1,5,3.3,-8
8,Trent Forrest,14:19,3,3,1.000,0,0,,0,0,,0,2,2,2,0,1,0,3,6,6.6,+7
9,Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,AJ Griffin,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Seth Lundy,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Wesley Matthews,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Patty Mills,Did Not Play,,,,,,,,,,,,,,,,,,,,
