,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Anthony Davis,40:58,13,22,.591,0,3,.000,5,7,.714,3,3,6,4,0,2,4,4,31,21.6,-10
1,Austin Reaves,40:00,8,14,.571,0,3,.000,3,4,.750,0,7,7,12,2,0,1,4,19,21.9,-23
2,LeBron James,38:50,11,24,.458,4,9,.444,6,10,.600,2,3,5,7,5,0,4,0,32,26.2,-8
3,Taurean Prince,34:53,3,9,.333,3,7,.429,1,2,.500,1,1,2,2,2,1,1,3,10,7.4,-19
4,Cam Reddish,32:00,3,8,.375,2,3,.667,0,0,,1,1,2,0,1,0,0,0,8,5.6,-20
5,Max Christie,20:16,1,3,.333,0,1,.000,0,0,,0,3,3,0,1,0,2,2,2,-0.6,+1
6,Jarred Vanderbilt,16:44,0,0,,0,0,,0,0,,1,4,5,1,1,0,0,1,0,3.2,+3
7,Christian Wood,16:19,3,5,.600,1,2,.500,4,4,1.000,0,5,5,0,1,0,1,0,11,10.2,+6
8,Alex Fudge,Did Not Play,,,,,,,,,,,,,,,,,,,,
9,Jaxson Hayes,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,D'Moi Hodge,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jalen Hood-Schifino,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Maxwell Lewis,Did Not Play,,,,,,,,,,,,,,,,,,,,
