,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Mikal Bridges,39:10,5,13,.385,0,5,.000,7,8,.875,1,7,8,3,0,1,4,4,17,9.5,+5
1,Nic Claxton,33:55,8,11,.727,0,0,,7,10,.700,8,5,13,3,1,0,3,1,23,24.1,+5
2,Spencer Dinwiddie,33:02,7,12,.583,3,7,.429,6,6,1.000,0,3,3,4,0,1,2,3,23,18.6,-7
3,Cameron Johnson,32:08,3,15,.200,3,10,.300,0,0,,1,2,3,2,1,0,0,4,9,1.8,-6
4,Dorian Finney-Smith,21:32,3,6,.500,3,5,.600,0,0,,1,2,3,2,1,1,0,4,9,8.8,+6
5,Dennis Smith Jr.,24:39,6,11,.545,1,4,.250,0,0,,6,6,12,7,2,0,0,4,13,19.0,+14
6,Cam Thomas,24:21,6,14,.429,3,5,.600,4,5,.800,0,2,2,0,1,0,1,0,19,11.8,+6
7,Royce O'Neale,16:18,2,4,.500,1,2,.500,0,0,,2,2,4,2,1,0,5,3,5,1.2,+16
8,Day'Ron Sharpe,9:00,1,3,.333,0,0,,4,4,1.000,1,1,2,2,1,0,0,1,6,7.3,-1
9,Lonnie Walker IV,5:55,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.1,+7
10,Harry Giles,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Trendon Watford,Did Not Play,,,,,,,,,,,,,,,,,,,,
