,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Scoot Henderson,33:13,7,15,.467,3,7,.429,0,0,,1,2,3,10,1,0,1,0,17,17.6,-26
1,Duop Reath,26:53,7,12,.583,1,3,.333,1,2,.500,4,3,7,2,0,0,3,3,16,10.9,-16
2,Toumani Camara,24:13,4,10,.400,2,7,.286,0,1,.000,1,6,7,1,1,0,2,2,10,5.6,-11
3,Anfernee Simons,23:03,1,8,.125,1,4,.250,3,3,1.000,0,5,5,4,0,0,2,1,6,2.7,-14
4,Jerami Grant,22:33,6,11,.545,2,3,.667,4,5,.800,0,1,1,3,3,1,1,1,18,17.0,-24
5,Shaedon Sharpe,23:41,5,15,.333,1,6,.167,4,4,1.000,1,4,5,2,0,1,2,2,15,7.7,-11
6,Kris Murray,20:01,4,8,.500,2,3,.667,0,0,,2,2,4,1,2,0,1,0,10,9.7,-17
7,Rayan Rupert,18:34,3,5,.600,1,2,.500,0,0,,1,2,3,0,0,0,2,3,7,2.8,-12
8,Ibou Badji,17:43,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,3,0,-1.6,-19
9,Malcolm Brogdon,16:24,2,8,.250,0,4,.000,0,2,.000,0,3,3,3,1,0,3,0,4,-0.6,-16
10,Matisse Thybulle,13:41,0,2,.000,0,1,.000,0,0,,0,2,2,0,1,1,0,0,0,0.9,-14
11,Skylar Mays,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Ish Wainright,Did Not Play,,,,,,,,,,,,,,,,,,,,
