,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Haliburton,34:43,5,17,.294,2,9,.222,5,5,1.000,1,5,6,7,5,0,4,1,17,14.8,-14
1,Aaron Nesmith,31:53,3,13,.231,0,7,.000,2,2,1.000,1,3,4,0,3,1,0,2,8,4.6,-5
2,Buddy Hield,30:36,6,16,.375,3,10,.300,0,0,,0,2,2,3,0,0,0,3,15,7.7,-5
3,Myles Turner,29:52,5,11,.455,0,5,.000,2,4,.500,3,4,7,2,0,0,0,3,12,9.0,-11
4,Jalen Smith,25:49,2,6,.333,1,4,.250,2,2,1.000,1,6,7,2,0,0,0,2,7,6.7,-7
5,Bennedict Mathurin,35:24,7,14,.500,0,3,.000,6,9,.667,2,2,4,2,2,1,2,2,20,15.1,-21
6,Obi Toppin,23:11,4,8,.500,2,4,.500,0,0,,1,2,3,1,0,0,0,1,10,7.6,-8
7,T.J. McConnell,12:11,3,3,1.000,0,0,,0,0,,0,1,1,5,2,0,3,0,6,7.9,-3
8,Isaiah Jackson,9:00,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,0,4,4,2.4,-8
9,Ben Sheppard,2:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3
10,Oscar Tshiebwe,1:06,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
11,Kendall Brown,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
12,Jordan Nwora,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,Jarace Walker,1:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
14,James Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,
