,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Luka Dončić,39:19,12,26,.462,5,12,.417,5,8,.625,0,6,6,8,1,0,3,3,34,23.6,+5
1,Kyrie Irving,39:17,14,27,.519,6,8,.750,1,1,1.000,5,3,8,5,3,2,3,2,35,30.2,+6
2,Derrick Jones Jr.,34:33,5,12,.417,1,6,.167,1,2,.500,5,5,10,1,1,3,1,2,12,12.2,+2
3,Josh Green,30:52,2,3,.667,0,1,.000,0,0,,0,5,5,1,0,1,0,2,4,4.8,-2
4,Dwight Powell,28:01,3,5,.600,0,0,,3,5,.600,5,1,6,4,1,0,0,4,9,11.9,+14
5,Tim Hardaway Jr.,31:37,4,13,.308,2,8,.250,2,2,1.000,0,4,4,1,0,0,0,2,12,5.6,+14
6,Grant Williams,20:17,3,5,.600,1,3,.333,2,2,1.000,0,2,2,0,0,2,3,3,9,4.5,-7
7,Seth Curry,11:57,0,3,.000,0,2,.000,0,0,,0,3,3,0,1,0,1,1,0,-1.6,0
8,Jaden Hardy,4:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
9,Greg Brown III,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Richaun Holmes,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,A.J. Lawson,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Markieff Morris,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Olivier-Maxence Prosper,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Brandon Williams,Did Not Play,,,,,,,,,,,,,,,,,,,,
