,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Brandon Ingram,29:49,6,12,.500,1,3,.333,2,2,1.000,0,4,4,8,1,1,1,0,15,16.5,+34
1,CJ McCollum,27:24,11,16,.688,7,10,.700,1,2,.500,1,6,7,4,0,2,3,0,30,26.5,+31
2,Herbert Jones,26:00,3,7,.429,1,3,.333,2,2,1.000,1,2,3,2,0,1,1,1,9,7.3,+34
3,Trey Murphy III,24:27,4,7,.571,3,6,.500,0,0,,0,2,2,5,1,0,1,1,11,11.4,+19
4,Jonas Valančiūnas,22:01,6,10,.600,1,2,.500,2,2,1.000,1,11,12,1,0,1,1,2,15,14.0,+20
5,Dyson Daniels,29:06,6,6,1.000,2,2,1.000,0,0,,1,4,5,6,0,0,0,3,14,17.1,+7
6,Jordan Hawkins,24:02,5,9,.556,1,5,.200,1,2,.500,0,3,3,2,0,1,2,2,12,7.5,+3
7,Naji Marshall,22:06,3,4,.750,1,1,1.000,4,4,1.000,2,4,6,2,0,0,1,2,11,11.6,+20
8,Larry Nance Jr.,14:21,1,4,.250,0,0,,0,0,,2,5,7,4,0,1,2,1,2,3.6,+23
9,Jeremiah Robinson-Earl,10:02,3,4,.750,1,2,.500,0,0,,0,0,0,0,0,1,1,1,7,4.7,-14
10,Cody Zeller,7:05,2,3,.667,1,1,1.000,2,2,1.000,1,1,2,1,0,0,2,0,7,5.4,-5
11,E.J. Liddell,3:37,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-0.7,-7
