,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Anfernee Simons,45:23,.666,.620,.400,.320,0.0,12.3,5.7,43.1,0.0,0.0,6.6,30.4,142,126,8.1
1,Jerami Grant,42:27,.543,.521,.292,.083,0.0,6.6,3.0,4.0,1.2,2.3,0.0,26.5,114,123,-2.5
2,Duop Reath,40:46,.663,.650,.400,.300,8.9,34.2,20.6,3.4,1.2,7.2,8.1,13.7,136,114,2.1
3,Scoot Henderson,29:33,.563,.500,.375,.250,4.1,9.4,6.6,18.1,0.0,0.0,18.4,16.7,115,126,-5.9
4,Toumani Camara,28:31,.434,.250,.500,1.000,4.2,24.5,13.6,4.3,1.8,0.0,25.8,12.3,83,119,-9.7
5,Shaedon Sharpe,40:10,.615,.607,.429,.500,0.0,3.5,1.6,3.7,2.5,2.4,0.0,19.2,128,120,1.1
6,Malcolm Brogdon,21:41,.922,.875,.750,.500,5.6,12.9,8.9,14.9,0.0,0.0,0.0,20.4,193,126,15.2
7,Ibou Badji,9:20,,,,,25.8,14.9,20.8,0.0,0.0,0.0,,0.0,237,125,-9.9
8,Kris Murray,7:09,.000,.000,.000,.000,16.8,39.0,27.1,0.0,0.0,0.0,50.0,25.3,23,120,-31.6
9,Justin Minaya,Did Not Play,,,,,,,,,,,,,,,
10,Rayan Rupert,Did Not Play,,,,,,,,,,,,,,,
11,Jabari Walker,Did Not Play,,,,,,,,,,,,,,,
