,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jaime Jaquez Jr.,38:37,5,11,.455,1,2,.500,3,4,.750,0,4,4,4,1,0,2,1,14,10.5,+6
1,Tyler Herro,34:26,10,20,.500,5,10,.500,3,3,1.000,2,1,3,3,0,0,1,2,28,20.0,+1
2,Bam Adebayo,31:38,9,12,.750,0,0,,4,7,.571,1,11,12,3,1,0,3,4,22,18.5,+12
3,Nikola Jović,21:23,2,9,.222,1,5,.200,1,4,.250,3,5,8,6,2,2,2,3,6,7.3,+7
4,Kyle Lowry,16:22,2,3,.667,1,1,1.000,1,2,.500,1,2,3,1,0,2,1,1,6,6.3,+5
5,Duncan Robinson,29:28,4,12,.333,3,10,.300,3,3,1.000,0,3,3,7,1,0,1,6,14,10.6,+2
6,Josh Richardson,29:08,4,6,.667,2,3,.667,2,2,1.000,0,2,2,2,0,1,0,2,12,11.3,+1
7,Kevin Love,23:11,4,7,.571,1,3,.333,6,7,.857,3,4,7,4,1,0,1,2,15,16.6,+5
8,Haywood Highsmith,15:47,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,0,3,2.9,-4
9,Thomas Bryant,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Jamal Cain,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,,
