,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Coby White,43:17,9,17,.529,6,11,.545,6,7,.857,0,4,4,8,0,1,4,1,30,24.4,+15
1,DeMar DeRozan,42:31,5,19,.263,3,6,.500,6,6,1.000,0,4,4,4,0,0,1,2,19,9.9,-9
2,Zach LaVine,41:14,8,15,.533,4,8,.500,5,6,.833,1,12,13,7,3,1,4,5,25,24.2,+15
3,Nikola Vučević,40:30,9,17,.529,0,5,.000,0,0,,3,12,15,3,0,1,0,4,18,16.6,+16
4,Alex Caruso,32:17,3,10,.300,2,9,.222,4,6,.667,2,4,6,3,1,1,0,3,12,10.6,-9
5,Patrick Williams,28:37,2,6,.333,1,3,.333,0,0,,0,0,0,1,3,0,2,2,5,2.5,+9
6,Ayo Dosunmu,18:01,3,8,.375,2,4,.500,0,0,,2,2,4,3,0,0,0,0,8,7.7,-5
7,Andre Drummond,12:30,2,2,1.000,0,0,,0,0,,0,0,0,1,2,0,3,1,4,2.7,-11
8,Dalen Terry,6:03,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,3.0,+4
9,Jevon Carter,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Torrey Craig,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Terry Taylor,Did Not Play,,,,,,,,,,,,,,,,,,,,
