,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Trae Young,43:25,7,22,.318,2,8,.250,12,14,.857,0,1,1,11,1,1,5,2,28,18.5,+7
1,Jalen Johnson,40:56,8,13,.615,3,4,.750,6,6,1.000,2,14,16,7,1,2,1,3,25,29.8,+6
2,Dejounte Murray,37:51,8,18,.444,5,7,.714,4,4,1.000,0,5,5,5,1,0,1,2,25,19.8,+1
3,Saddiq Bey,36:46,6,16,.375,1,6,.167,2,3,.667,6,4,10,1,0,0,1,1,15,10.5,-4
4,Onyeka Okongwu,35:31,7,10,.700,0,0,,5,5,1.000,6,5,11,1,0,2,2,5,19,18.6,-1
5,Bogdan Bogdanović,28:18,7,16,.438,1,8,.125,0,1,.000,0,2,2,4,2,0,1,1,15,10.2,+12
6,Trent Forrest,18:30,2,3,.667,0,1,.000,0,0,,0,5,5,3,0,0,0,3,4,5.1,+6
7,Bruno Fernando,17:29,3,4,.750,0,0,,2,9,.222,2,3,5,0,1,3,1,2,8,7.2,+8
8,Patty Mills,6:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0
9,AJ Griffin,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Seth Lundy,Did Not Play,,,,,,,,,,,,,,,,,,,,
