,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Daniel Gafford,37:28,4,6,.667,0,0,,4,6,.667,1,7,8,2,2,6,3,4,12,14.4,-3
1,Kyle Kuzma,33:55,4,15,.267,0,4,.000,3,3,1.000,3,8,11,5,2,0,4,0,11,8.1,-10
2,Tyus Jones,33:36,5,12,.417,1,5,.200,0,0,,1,3,4,4,0,1,2,2,11,6.9,-5
3,Jordan Poole,33:35,11,21,.524,2,7,.286,4,6,.667,1,3,4,7,3,0,1,3,28,24.2,0
4,Deni Avdija,24:34,4,10,.400,1,3,.333,6,7,.857,0,5,5,1,1,0,1,5,15,9.4,+2
5,Corey Kispert,29:36,6,11,.545,3,8,.375,0,0,,2,1,3,2,0,0,1,0,15,11.8,-11
6,Bilal Coulibaly,22:20,1,5,.200,0,1,.000,3,4,.750,1,5,6,1,0,1,0,4,5,3.5,-5
7,Delon Wright,14:24,1,4,.250,0,1,.000,1,4,.250,1,0,1,2,0,0,0,1,3,1.1,-3
8,Mike Muscala,10:32,2,4,.500,0,2,.000,0,0,,3,1,4,0,0,0,1,4,4,1.8,-5
9,Patrick Baldwin Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Jules Bernard,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Johnny Davis,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Hamidou Diallo,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Danilo Gallinari,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Anthony Gill,Did Not Play,,,,,,,,,,,,,,,,,,,,
