,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jalen Brunson,38:59,.578,.500,.273,.409,0.0,5.7,3.0,31.1,1.3,0.0,13.4,32.0,119,134,-1.5
1,OG Anunoby,38:42,.479,.450,.600,.100,3.1,14.4,9.0,6.4,0.0,5.3,8.7,12.3,108,131,-4.2
2,Julius Randle,37:18,.613,.565,.304,.304,3.2,15.0,9.3,22.5,2.6,0.0,13.3,33.6,119,128,2.9
3,Isaiah Hartenstein,32:13,.840,.667,.000,1.333,18.6,34.6,26.9,10.9,1.5,0.0,0.0,6.1,202,125,3.5
4,Donte DiVincenzo,29:38,.731,.731,.769,.000,4.0,11.3,7.8,14.9,3.3,0.0,13.3,21.1,133,127,5.9
5,Josh Hart,23:24,.376,.250,.750,.750,15.4,4.8,9.9,9.8,0.0,0.0,15.8,11.2,109,137,-9.1
6,Precious Achiuwa,15:47,.902,1.000,.000,.667,7.6,35.4,22.0,0.0,3.1,0.0,34.0,15.5,106,121,-3.8
7,Quentin Grimes,14:58,.654,.750,1.000,.333,0.0,0.0,0.0,28.0,0.0,0.0,0.0,19.1,146,138,6.4
8,Miles McBride,9:01,.500,.500,.800,.000,13.3,12.4,12.8,16.0,0.0,0.0,0.0,23.1,127,134,-4.2
9,Ryan Arcidiacono,Did Not Play,,,,,,,,,,,,,,,
10,Charlie Brown Jr.,Did Not Play,,,,,,,,,,,,,,,
11,Malachi Flynn,Did Not Play,,,,,,,,,,,,,,,
12,Evan Fournier,Did Not Play,,,,,,,,,,,,,,,
13,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,
