,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Brandin Podziemski,35:44,10,14,.714,3,5,.600,0,1,.000,1,9,10,3,2,0,0,3,23,23.1,-1
1,Klay Thompson,35:32,7,23,.304,6,17,.353,1,1,1.000,2,1,3,3,0,0,2,2,21,8.7,-8
2,Dario Šarić,34:04,5,9,.556,1,5,.200,1,2,.500,0,6,6,6,1,0,3,1,12,10.9,-6
3,Andrew Wiggins,32:29,3,13,.231,1,3,.333,0,0,,3,1,4,1,0,0,0,3,7,1.0,-14
4,Kevon Looney,18:26,3,6,.500,0,0,,0,0,,4,2,6,3,0,1,0,2,6,8.4,+7
5,Jonathan Kuminga,29:36,10,18,.556,2,3,.667,6,6,1.000,0,3,3,2,1,1,0,2,28,22.6,-18
6,Cory Joseph,18:25,1,2,.500,1,2,.500,0,0,,0,3,3,2,0,1,1,1,3,3.6,-11
7,Trayce Jackson-Davis,18:11,6,8,.750,0,0,,0,2,.000,0,2,2,1,1,1,0,0,12,11.0,-13
8,Lester Quinones,17:33,2,5,.400,1,1,1.000,1,2,.500,2,2,4,2,0,0,1,2,6,4.5,+9
9,Usman Garuba,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Draymond Green,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jerome Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,,
