,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,D'Angelo Russell,40:47,15,26,.577,6,11,.545,3,3,1.000,0,3,3,8,1,2,3,3,39,31.5,-2
1,Anthony Davis,39:16,5,21,.238,0,1,.000,5,6,.833,2,13,15,11,1,4,6,1,15,12.3,-12
2,Austin Reaves,30:54,7,8,.875,1,2,.500,4,6,.667,1,3,4,2,0,0,1,6,19,15.0,-21
3,Taurean Prince,30:10,5,8,.625,2,4,.500,0,0,,0,1,1,1,0,1,0,3,12,8.9,-19
4,Cam Reddish,11:16,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
5,Jarred Vanderbilt,22:55,2,2,1.000,1,1,1.000,0,0,,2,1,3,1,1,0,2,4,5,4.2,+4
6,Christian Wood,22:26,5,10,.500,2,6,.333,3,3,1.000,1,8,9,1,0,1,0,1,15,14.1,-4
7,Rui Hachimura,18:42,6,12,.500,0,2,.000,5,6,.833,1,2,3,1,1,0,0,0,17,13.6,+12
8,Max Christie,13:57,1,2,.500,1,1,1.000,0,0,,0,0,0,3,1,0,0,3,3,3.9,+9
9,Skylar Mays,9:37,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,0,2,0,0.5,-5
10,Colin Castleton,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jaxson Hayes,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jalen Hood-Schifino,Did Not Play,,,,,,,,,,,,,,,,,,,,
