,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Bam Adebayo,35:23,.585,.529,.059,.471,0.0,23.8,14.4,34.2,0.0,2.5,8.9,29.9,117,89,5.8
1,Tyler Herro,28:28,.626,.600,.600,.267,4.6,17.7,12.6,23.9,1.8,0.0,15.2,32.7,108,90,5.6
2,Nikola Jović,27:52,.417,.417,.333,.000,4.7,18.1,12.8,9.4,0.0,6.4,33.3,15.2,69,90,-7.2
3,Kyle Lowry,25:52,.000,.000,.333,.000,0.0,13.0,7.9,13.9,0.0,3.4,40.0,9.1,35,95,-10.5
4,Jaime Jaquez Jr.,14:37,.656,.636,.000,.091,8.9,23.0,17.5,38.6,3.4,0.0,0.0,36.8,132,82,14.6
5,Haywood Highsmith,31:06,.700,.700,.200,.000,0.0,5.4,3.3,8.7,3.2,2.9,0.0,7.6,141,92,4.8
6,Duncan Robinson,30:04,.800,.773,.545,.182,0.0,11.2,6.8,27.7,1.7,3.0,14.4,21.7,135,92,10.5
7,Caleb Martin,24:56,.200,.200,.400,.000,0.0,10.1,6.1,10.1,2.0,0.0,16.7,11.3,52,94,-9.4
8,Josh Richardson,19:32,.652,.625,.375,.125,6.6,4.3,5.2,0.0,0.0,0.0,10.6,22.7,110,102,-2.1
9,Orlando Robinson,2:10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,103,-16.5
10,Thomas Bryant,Did Not Play,,,,,,,,,,,,,,,
11,Kevin Love,Did Not Dress,,,,,,,,,,,,,,,
