,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Anthony Edwards,38:13,.775,.688,.250,.750,3.8,23.9,15.1,29.6,2.7,0.0,19.0,33.8,134,112,10.4
1,Rudy Gobert,36:55,.672,.800,.000,2.800,11.8,46.4,31.2,0.0,0.0,11.8,8.2,16.2,133,105,2.6
2,Karl-Anthony Towns,36:36,.660,.667,.333,.167,0.0,18.7,10.5,22.8,0.0,0.0,23.7,22.7,107,120,-1.4
3,Jaden McDaniels,35:21,.700,.700,.300,.000,4.1,9.7,7.2,18.2,3.0,0.0,28.6,19.5,107,115,2.2
4,Mike Conley,31:49,.429,.429,.857,.000,4.6,3.6,4.0,21.6,1.6,0.0,22.2,13.9,100,119,-4.6
5,Kyle Anderson,26:42,.683,.750,.167,.500,0.0,4.3,2.4,17.5,2.0,0.0,0.0,13.5,146,119,1.9
6,Nickeil Alexander-Walker,19:59,.500,.500,.833,.000,0.0,0.0,0.0,7.2,0.0,5.5,0.0,14.8,107,120,-4.5
7,Naz Reid,14:23,.800,.800,.600,.000,0.0,7.9,4.4,11.9,7.3,0.0,16.7,20.5,122,105,10.3
8,Troy Brown Jr.,Did Not Play,,,,,,,,,,,,,,,
9,Jordan McLaughlin,Did Not Play,,,,,,,,,,,,,,,
10,Leonard Miller,Did Not Play,,,,,,,,,,,,,,,
11,Shake Milton,Did Not Play,,,,,,,,,,,,,,,
12,Josh Minott,Did Not Play,,,,,,,,,,,,,,,
13,Wendell Moore Jr.,Did Not Play,,,,,,,,,,,,,,,
