,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Domantas Sabonis,44:56,9,10,.900,1,1,1.000,2,2,1.000,3,10,13,15,1,1,3,3,21,30.7,+7
1,De'Aaron Fox,42:53,12,26,.462,2,6,.333,6,7,.857,1,1,2,5,3,0,4,4,32,20.1,-3
2,Kevin Huerter,38:43,10,14,.714,6,9,.667,0,0,,0,10,10,3,1,0,1,4,26,23.7,+4
3,Harrison Barnes,31:50,6,9,.667,1,4,.250,1,1,1.000,0,1,1,1,1,0,0,0,14,12.1,-1
4,Keegan Murray,19:28,2,9,.222,0,2,.000,0,0,,0,1,1,0,0,1,0,1,4,-0.9,+1
5,Malik Monk,36:18,9,21,.429,4,9,.444,6,10,.600,1,6,7,7,0,0,1,1,28,21.3,-11
6,Trey Lyles,33:06,3,8,.375,3,7,.429,0,0,,1,6,7,2,0,0,0,3,9,7.3,+10
7,Alex Len,11:22,2,4,.500,0,1,.000,0,0,,3,2,5,1,0,0,0,3,4,4.2,-7
8,Sasha Vezenkov,6:24,2,4,.500,0,2,.000,0,0,,0,1,1,0,0,0,0,0,4,2.3,-5
9,Chris Duarte,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Kessler Edwards,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Keon Ellis,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,JaVale McGee,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Davion Mitchell,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Juan Toscano-Anderson,Did Not Play,,,,,,,,,,,,,,,,,,,,
