,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Malik Beasley,45:16,7,12,.583,5,9,.556,4,4,1.000,0,4,4,5,1,0,1,5,23,20.1,-1
1,Damian Lillard,41:25,9,23,.391,5,13,.385,6,6,1.000,0,4,4,8,0,0,4,0,29,19.3,-6
2,Giannis Antetokounmpo,40:23,9,16,.563,0,2,.000,9,14,.643,1,9,10,10,3,0,4,4,27,25.2,-13
3,Brook Lopez,40:04,7,15,.467,3,6,.500,0,0,,1,8,9,3,0,3,0,2,17,15.8,+5
4,Andre Jackson Jr.,10:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,5,0,-3.3,+2
5,Pat Connaughton,33:14,1,3,.333,1,3,.333,2,2,1.000,0,3,3,2,0,0,0,3,5,4.4,+5
6,Bobby Portis,25:33,9,11,.818,2,2,1.000,2,2,1.000,2,8,10,1,0,0,2,1,22,20.0,+10
7,A.J. Green,17:30,1,5,.200,1,4,.250,2,2,1.000,0,0,0,0,0,0,0,2,5,1.1,-4
8,Cameron Payne,11:35,5,7,.714,3,4,.750,2,2,1.000,0,0,0,1,1,0,0,0,15,13.8,+7
9,Thanasis Antetokounmpo,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,MarJon Beauchamp,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Robin Lopez,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,TyTy Washington Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
