,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Isaiah Stewart,37:41,7,17,.412,1,6,.167,1,2,.500,4,2,6,4,1,2,3,4,16,10.5,+19
1,Kevin Knox,32:52,1,7,.143,1,4,.250,2,2,1.000,2,0,2,1,0,0,1,0,5,1.6,+7
2,Jaden Ivey,32:28,9,18,.500,2,7,.286,4,7,.571,1,6,7,6,0,3,5,0,24,17.6,+3
3,Jalen Duren,26:00,8,8,1.000,0,0,,4,5,.800,2,17,19,4,0,1,2,3,20,24.0,+8
4,Killian Hayes,24:29,2,4,.500,0,1,.000,0,0,,0,1,1,6,0,0,1,1,4,5.1,-4
5,Alec Burks,28:37,11,17,.647,8,12,.667,4,4,1.000,0,2,2,2,0,0,1,2,34,26.7,+18
6,Ausar Thompson,27:11,6,8,.750,0,1,.000,2,3,.667,1,7,8,2,3,0,0,2,14,16.8,+9
7,James Wiseman,14:44,3,4,.750,0,0,,0,0,,2,3,5,0,0,2,0,1,6,7.7,+1
8,Marcus Sasser,11:08,3,7,.429,0,0,,0,0,,0,2,2,4,0,2,1,0,6,6.1,+9
9,Joe Harris,4:49,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-10
10,Bojan Bogdanović,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Stanley Umude,Did Not Play,,,,,,,,,,,,,,,,,,,,
