,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Mikal Bridges,43:51,10,23,.435,2,10,.200,4,4,1.000,2,7,9,6,2,2,1,1,26,23.6,-1
1,Nic Claxton,42:35,4,9,.444,0,0,,1,1,1.000,2,11,13,2,0,2,1,1,9,10.4,-4
2,Dorian Finney-Smith,28:20,1,6,.167,1,5,.200,2,2,1.000,2,5,7,2,0,2,0,0,5,6.9,-5
3,Cameron Johnson,22:33,3,13,.231,0,8,.000,0,0,,0,2,2,0,0,0,0,3,6,-2.5,-12
4,Spencer Dinwiddie,20:24,1,6,.167,1,6,.167,0,0,,0,0,0,1,3,0,1,2,3,1.1,-13
5,Dennis Smith Jr.,32:23,3,8,.375,1,4,.250,1,2,.500,1,4,5,5,4,1,2,2,8,10.5,+10
6,Cam Thomas,31:47,7,20,.350,2,10,.200,7,7,1.000,0,2,2,3,0,0,2,2,23,11.7,+9
7,Royce O'Neale,30:10,5,10,.500,5,10,.500,0,0,,1,8,9,5,0,1,0,4,15,15.7,+9
8,Lonnie Walker IV,9:09,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,1,1,1,0,-1.5,0
9,Trendon Watford,3:45,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0.3,+2
10,Harry Giles,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Day'Ron Sharpe,Did Not Dress,,,,,,,,,,,,,,,,,,,,
