,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Shai Gilgeous-Alexander,33:44,6,16,.375,0,3,.000,7,8,.875,1,1,2,4,0,2,2,4,19,11.4,-19
1,Chet Holmgren,33:07,2,10,.200,0,2,.000,4,6,.667,0,5,5,5,0,1,1,4,8,4.1,-14
2,Luguentz Dort,33:06,6,10,.600,5,8,.625,2,2,1.000,0,1,1,1,0,0,3,2,19,11.6,-15
3,Jalen Williams,32:44,10,14,.714,2,3,.667,3,3,1.000,0,3,3,7,0,0,4,5,25,19.0,-5
4,Josh Giddey,19:14,4,9,.444,1,3,.333,0,0,,1,3,4,4,0,0,0,0,9,8.7,-2
5,Isaiah Joe,23:25,5,7,.714,5,6,.833,0,0,,3,3,6,3,2,0,0,2,15,18.4,-12
6,Aaron Wiggins,16:51,3,4,.750,1,1,1.000,0,0,,0,4,4,2,1,0,0,0,7,9.0,+4
7,Kenrich Williams,16:14,1,4,.250,1,4,.250,0,0,,2,4,6,1,1,1,1,1,3,4.2,+1
8,Cason Wallace,14:55,2,4,.500,1,2,.500,0,0,,2,0,2,1,1,1,0,1,5,6.4,-1
9,Vasilije Micić,11:18,3,4,.750,0,1,.000,1,1,1.000,0,1,1,2,0,0,0,0,7,7.1,+8
10,Ousmane Dieng,4:14,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,0
11,Olivier Sarr,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
12,Dāvis Bertāns,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Tre Mann,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Jaylin Williams,Did Not Play,,,,,,,,,,,,,,,,,,,,
