,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Domantas Sabonis,39:19,9,11,.818,1,1,1.000,2,4,.500,2,10,12,11,0,1,2,2,21,26.1,-2
1,De'Aaron Fox,36:46,12,24,.500,6,10,.600,3,5,.600,1,1,2,6,2,0,1,2,33,25.6,+6
2,Keegan Murray,35:18,7,12,.583,3,5,.600,1,2,.500,1,3,4,3,1,1,1,3,18,15.2,-9
3,Harrison Barnes,34:05,3,9,.333,2,6,.333,0,0,,0,3,3,3,0,0,2,2,8,3.1,-11
4,Kevin Huerter,25:57,4,9,.444,2,6,.333,0,0,,0,3,3,2,2,1,0,4,10,8.7,-1
5,Malik Monk,29:05,5,16,.313,2,7,.286,1,1,1.000,0,3,3,8,0,1,5,2,13,5.2,-12
6,Sasha Vezenkov,17:41,6,9,.667,2,3,.667,0,0,,1,1,2,1,1,0,1,1,14,11.4,+7
7,Trey Lyles,13:55,0,2,.000,0,2,.000,0,0,,0,2,2,0,1,0,0,1,0,-0.2,+9
8,Alex Len,7:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,3,0,-3.2,+3
9,Chris Duarte,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Kessler Edwards,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Keon Ellis,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,JaVale McGee,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Davion Mitchell,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Juan Toscano-Anderson,Did Not Play,,,,,,,,,,,,,,,,,,,,
