,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Rudy Gobert,37:39,8,11,.727,0,0,,3,4,.750,5,11,16,2,0,1,1,4,19,20.4,+12
1,Anthony Edwards,33:29,10,24,.417,3,8,.375,4,4,1.000,0,5,5,8,0,0,3,3,27,17.1,+5
2,Karl-Anthony Towns,30:56,10,17,.588,5,5,1.000,2,2,1.000,2,4,6,4,0,0,1,2,27,22.7,+7
3,Jaden McDaniels,30:19,8,11,.727,3,4,.750,4,4,1.000,2,1,3,0,1,0,1,0,23,20.2,+4
4,Mike Conley,29:18,3,8,.375,2,6,.333,0,1,.000,0,3,3,7,1,1,1,0,8,9.7,+20
5,Naz Reid,23:11,3,9,.333,1,4,.250,2,4,.500,0,4,4,1,3,0,1,0,9,7.0,+3
6,Nickeil Alexander-Walker,22:52,3,6,.500,1,3,.333,0,0,,0,0,0,1,1,1,0,2,7,5.6,-6
7,Kyle Anderson,21:43,2,6,.333,0,0,,0,0,,0,3,3,9,1,2,1,2,4,8.4,+3
8,Jordan McLaughlin,8:19,0,1,.000,0,0,,0,2,.000,0,2,2,0,0,0,0,1,0,-1.3,-3
9,Troy Brown Jr.,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
10,Shake Milton,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
11,Luka Garza,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Wendell Moore Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
