,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,OG Anunoby,42:38,6,9,.667,3,5,.600,4,4,1.000,0,7,7,1,0,2,1,3,19,17.1,+12
1,Jalen Brunson,40:21,14,27,.519,2,4,.500,11,13,.846,1,7,8,8,2,1,6,2,41,31.2,+10
2,Julius Randle,38:57,8,17,.471,3,8,.375,2,4,.500,1,7,8,5,0,0,5,2,21,12.0,+1
3,Isaiah Hartenstein,38:31,3,5,.600,0,0,,0,0,,5,12,17,3,2,1,2,2,6,12.8,+8
4,Donte DiVincenzo,37:35,6,15,.400,5,12,.417,2,2,1.000,0,3,3,3,0,1,3,4,19,10.0,+15
5,Quentin Grimes,19:14,0,5,.000,0,5,.000,0,0,,0,1,1,2,0,0,0,1,0,-2.2,-12
6,Precious Achiuwa,9:28,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,1,2,2.6,-4
7,Miles McBride,7:39,1,3,.333,0,1,.000,3,3,1.000,0,1,1,0,1,0,0,1,5,4.2,-6
8,Evan Fournier,5:36,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,2,0,-3.3,-4
9,Ryan Arcidiacono,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Malachi Flynn,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,,,,,,
