,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Dejounte Murray,34:43,10,19,.526,2,7,.286,2,2,1.000,0,9,9,5,1,0,2,2,24,19.1,-20
1,Jalen Johnson,33:46,8,16,.500,1,5,.200,3,6,.500,1,6,7,4,1,2,1,2,20,16.7,-19
2,Saddiq Bey,30:04,0,12,.000,0,6,.000,0,0,,3,4,7,2,0,0,1,3,0,-5.9,-24
3,Trae Young,28:18,6,12,.500,3,4,.750,0,0,,0,1,1,5,0,0,4,2,15,8.0,-20
4,Clint Capela,22:06,3,8,.375,0,0,,0,0,,5,4,9,0,1,2,2,2,6,5.9,-14
5,Bogdan Bogdanović,28:20,5,11,.455,1,6,.167,3,4,.750,0,2,2,4,1,0,1,0,14,11.3,-13
6,Onyeka Okongwu,22:39,0,3,.000,0,0,,1,2,.500,2,4,6,2,0,0,0,3,1,1.3,-10
7,Garrison Mathews,14:22,1,3,.333,1,3,.333,1,1,1.000,0,2,2,2,0,0,0,0,4,4.3,-3
8,Patty Mills,10:12,2,3,.667,2,3,.667,0,0,,0,0,0,0,1,0,0,1,6,5.3,+3
9,Trent Forrest,5:45,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+6
10,Seth Lundy,3:15,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,+3
11,AJ Griffin,3:15,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+3
12,Bruno Fernando,3:15,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+3
