,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Alperen Sengun,41:43,15,26,.577,1,1,1.000,6,10,.600,8,6,14,6,1,1,1,4,37,33.9,-8
1,Jabari Smith Jr.,41:18,9,19,.474,4,8,.500,2,4,.500,4,6,10,1,2,1,0,2,24,20.7,+2
2,Dillon Brooks,35:08,3,10,.300,1,3,.333,0,0,,0,5,5,1,0,0,0,2,7,2.6,-7
3,Fred VanVleet,33:59,8,19,.421,2,10,.200,0,0,,2,3,5,7,1,3,2,6,18,13.8,-3
4,Jalen Green,28:20,3,12,.250,0,6,.000,1,1,1.000,0,3,3,4,1,0,1,0,7,3.5,-7
5,Cam Whitmore,26:53,6,13,.462,4,6,.667,1,3,.333,1,4,5,1,0,2,2,1,17,11.1,+8
6,Amen Thompson,18:28,2,6,.333,0,1,.000,2,2,1.000,4,4,8,2,2,2,0,3,6,10.2,+8
7,Jeff Green,15:43,1,6,.167,1,3,.333,0,0,,1,2,3,2,0,0,1,0,3,0.9,+5
8,Jae'Sean Tate,14:24,1,4,.250,0,1,.000,0,0,,3,0,3,3,1,1,0,2,2,4.7,+8
9,Aaron Holiday,9:04,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,3,0,0,2,6,7.6,-1
10,Jock Landale,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jeenathan Williams,Did Not Play,,,,,,,,,,,,,,,,,,,,
