,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Buddy Hield,31:24,6,10,.600,5,8,.625,1,2,.500,1,3,4,3,1,0,0,2,18,16.9,-20
1,Pascal Siakam,30:06,6,14,.429,1,3,.333,2,2,1.000,2,2,4,7,0,0,3,6,15,9.1,-9
2,Aaron Nesmith,25:49,2,7,.286,1,5,.200,1,3,.333,1,2,3,1,1,0,0,4,6,2.5,-9
3,Myles Turner,18:34,5,11,.455,1,2,.500,1,2,.500,1,1,2,1,0,2,1,1,12,7.6,-25
4,T.J. McConnell,11:50,2,8,.250,0,0,,0,0,,0,1,1,3,2,0,1,0,4,2.6,-9
5,Obi Toppin,25:55,6,12,.500,0,2,.000,1,2,.500,2,4,6,1,0,0,0,1,13,9.5,+4
6,Andrew Nembhard,25:26,3,9,.333,0,0,,3,4,.750,0,0,0,6,1,0,4,3,9,3.5,+2
7,Ben Sheppard,19:43,1,4,.250,0,1,.000,2,2,1.000,2,2,4,4,2,0,0,3,4,7.2,+10
8,Jalen Smith,18:47,5,5,1.000,3,3,1.000,2,4,.500,2,2,4,1,1,2,1,0,15,16.8,+11
9,Jarace Walker,18:24,4,6,.667,2,3,.667,0,0,,3,6,9,1,1,0,1,0,10,12.0,+3
10,Bennedict Mathurin,14:02,1,8,.125,1,4,.250,1,2,.500,0,3,3,0,0,0,0,0,4,-0.7,+7
11,Kendall Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,James Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Oscar Tshiebwe,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Isaiah Wong,Did Not Play,,,,,,,,,,,,,,,,,,,,
