,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jayson Tatum,40:55,.664,.571,.381,.905,0.0,26.3,14.0,20.9,3.5,4.1,0.0,32.1,140,101,15.5
1,Jrue Holiday,38:17,.654,.654,.923,.000,0.0,17.9,9.5,22.5,0.0,2.2,7.1,16.4,126,113,4.7
2,Jaylen Brown,36:33,.655,.636,.318,.409,3.1,5.4,4.3,22.0,0.0,4.6,0.0,31.8,134,114,8.2
3,Derrick White,34:29,.233,.208,.583,.167,0.0,11.4,6.1,3.6,2.8,2.4,7.2,18.0,48,108,-12.0
4,Al Horford,31:14,.786,.786,.857,.000,3.6,15.7,10.0,13.2,1.5,0.0,12.5,11.5,139,112,4.4
5,Payton Pritchard,24:30,.357,.357,.571,.000,4.6,24.0,14.9,31.7,1.9,3.4,12.5,14.6,100,106,1.9
6,Luke Kornet,18:38,.333,.333,.000,.000,6.0,21.0,14.0,6.7,0.0,4.5,40.0,12.0,63,110,-9.8
7,Sam Hauser,15:24,.833,.833,.667,.000,7.2,0.0,3.4,0.0,0.0,0.0,0.0,8.7,163,119,-0.6
8,Dalano Banton,Did Not Play,,,,,,,,,,,,,,,
9,Svi Mykhailiuk,Did Not Play,,,,,,,,,,,,,,,
10,Neemias Queta,Did Not Play,,,,,,,,,,,,,,,
11,Lamar Stevens,Did Not Play,,,,,,,,,,,,,,,
12,Jordan Walsh,Did Not Play,,,,,,,,,,,,,,,
