,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Brook Lopez,34:44,.508,.429,.143,.286,16.1,13.2,14.6,10.1,1.4,2.6,11.3,10.8,130,115,-0.2
1,Damian Lillard,34:34,.542,.429,.429,.524,0.0,3.3,1.6,16.4,2.7,0.0,7.2,34.1,113,115,-0.3
2,Giannis Antetokounmpo,34:33,.691,.688,.042,.125,6.5,52.9,29.4,61.0,0.0,5.2,7.3,33.5,142,110,19.6
3,Khris Middleton,31:59,.648,.567,.267,.533,7.0,10.7,8.8,22.7,3.0,0.0,0.0,24.5,149,113,8.3
4,Malik Beasley,27:34,.900,.900,1.000,.000,0.0,4.1,2.0,4.4,1.7,0.0,16.7,9.2,140,117,0.5
5,Bobby Portis,25:19,.515,.333,.167,.667,0.0,27.1,13.4,0.0,0.0,0.0,11.4,14.7,99,118,-8.2
6,Jae Crowder,17:36,.750,.750,1.000,.000,6.3,13.0,9.6,6.5,0.0,0.0,60.0,12.0,72,120,-9.1
7,Pat Connaughton,17:27,.750,.750,.750,.000,0.0,6.5,3.2,0.0,5.4,0.0,0.0,9.7,147,108,5.1
8,Cameron Payne,13:26,.417,.417,.500,.000,0.0,17.0,8.4,0.0,3.5,0.0,14.3,22.1,72,111,-9.8
9,Thanasis Antetokounmpo,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.8
10,A.J. Green,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-7.2
11,Andre Jackson Jr.,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.6
12,Robin Lopez,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.0
