,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Julius Randle,30:26,7,15,.467,1,5,.200,2,2,1.000,3,4,7,8,1,0,2,2,17,16.4,+25
1,OG Anunoby,29:19,10,18,.556,3,9,.333,3,5,.600,0,2,2,1,6,0,1,2,26,22.1,+38
2,Jalen Brunson,26:33,7,10,.700,1,2,.500,6,6,1.000,0,1,1,4,0,0,2,0,21,17.9,+24
3,Donte DiVincenzo,26:03,5,10,.500,4,9,.444,2,2,1.000,2,1,3,6,1,0,0,2,16,17.1,+27
4,Jericho Sims,25:28,1,1,1.000,0,0,,0,0,,1,7,8,0,0,1,1,4,2,2.6,+20
5,Josh Hart,26:07,2,5,.400,0,2,.000,0,0,,0,7,7,3,1,1,0,0,4,7.2,+6
6,Quentin Grimes,22:55,7,11,.636,2,5,.400,3,3,1.000,0,5,5,0,0,0,2,0,19,13.6,+13
7,Precious Achiuwa,22:32,1,4,.250,0,0,,0,0,,6,4,10,3,0,1,0,1,2,7.4,+18
8,Miles McBride,21:27,4,9,.444,4,5,.800,1,2,.500,0,1,1,1,2,0,0,2,13,10.1,+14
9,Ryan Arcidiacono,5:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.1,+3
10,Malachi Flynn,3:49,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
11,Evan Fournier,Did Not Play,,,,,,,,,,,,,,,,,,,,
