,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Pascal Siakam,30:04,.747,.731,.154,.769,12.9,32.6,24.1,41.3,0.0,0.0,10.3,25.1,155,114,15.6
1,Aaron Nesmith,28:53,.948,.938,.375,.125,4.5,23.7,15.5,11.6,0.0,0.0,10.6,12.7,170,115,8.4
2,Andrew Nembhard,28:50,.598,.567,.200,.133,0.0,6.8,3.9,33.6,1.5,2.9,27.4,29.6,103,112,-2.3
3,Myles Turner,27:09,.727,.708,.500,.333,14.3,21.6,18.5,4.4,1.6,6.1,6.8,21.2,146,107,6.9
4,Buddy Hield,25:48,.917,.917,.833,.000,0.0,11.4,6.5,8.2,3.4,0.0,14.3,10.6,152,110,7.8
5,Bennedict Mathurin,25:14,.454,.385,.154,.231,5.1,15.5,11.1,17.5,0.0,0.0,17.3,26.7,97,116,-9.0
6,T.J. McConnell,23:54,.667,.667,.000,.000,5.4,12.3,9.3,22.3,3.7,0.0,33.3,14.7,110,109,-1.8
7,Obi Toppin,19:09,.591,.591,.364,.000,13.5,15.3,14.6,0.0,0.0,4.3,21.4,28.5,95,113,-6.9
8,Ben Sheppard,14:52,.250,.250,.500,.000,0.0,32.9,18.8,13.0,0.0,0.0,0.0,10.5,90,113,-10.3
9,Jalen Smith,9:03,.676,.750,.250,.250,14.3,0.0,6.2,0.0,0.0,18.3,0.0,19.1,137,101,-4.4
10,Isaiah Jackson,5:25,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,30.6,50.0,14.4,0,92,-13.0
11,Kendall Brown,1:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-4.9
12,James Johnson,Did Not Play,,,,,,,,,,,,,,,
13,Oscar Tshiebwe,Did Not Play,,,,,,,,,,,,,,,
14,Jarace Walker,Did Not Play,,,,,,,,,,,,,,,
