,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Anfernee Simons,40:51,14,27,.519,7,15,.467,5,5,1.000,0,2,2,10,1,0,5,3,40,29.1,-5
1,Jabari Walker,36:51,1,5,.200,0,2,.000,1,4,.250,2,7,9,2,2,1,0,2,3,5.5,-21
2,Deandre Ayton,34:07,10,17,.588,0,0,,0,0,,2,10,12,2,2,0,2,2,20,17.1,-8
3,Matisse Thybulle,26:35,2,5,.400,1,4,.250,0,0,,1,0,1,4,2,0,1,4,5,5.2,-6
4,Jerami Grant,10:21,2,6,.333,0,1,.000,0,0,,0,1,1,2,0,0,1,1,4,0.9,+7
5,Toumani Camara,23:08,4,9,.444,0,1,.000,4,4,1.000,2,2,4,1,2,1,3,0,12,9.7,-9
6,Justin Minaya,22:02,0,3,.000,0,3,.000,0,0,,0,2,2,1,1,1,1,1,0,-0.5,-10
7,Kris Murray,17:20,1,9,.111,0,6,.000,0,1,.000,0,2,2,0,1,0,0,3,2,-3.9,-22
8,Duop Reath,12:38,1,4,.250,0,2,.000,1,2,.500,1,2,3,0,0,0,0,2,3,0.7,-7
9,Rayan Rupert,8:25,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,3.0,-6
10,Scoot Henderson,6:27,1,2,.500,1,1,1.000,3,3,1.000,0,1,1,0,0,0,0,0,6,5.3,+8
11,Taze Moore,1:15,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1
