,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jamal Murray,36:48,8,15,.533,6,10,.600,1,4,.250,0,3,3,7,1,1,2,1,23,19.6,+13
1,Nikola Jokić,36:40,8,16,.500,0,1,.000,10,16,.625,5,11,16,7,2,0,3,3,26,25.1,+2
2,Michael Porter Jr.,35:08,8,19,.421,4,12,.333,0,0,,3,5,8,2,0,0,1,2,20,13.1,+18
3,Kentavious Caldwell-Pope,32:56,2,8,.250,0,3,.000,4,4,1.000,0,1,1,2,0,0,0,3,8,3.7,+7
4,Aaron Gordon,31:04,6,8,.750,2,3,.667,4,6,.667,2,2,4,2,1,0,1,1,18,17.0,+6
5,Peyton Watson,20:51,3,7,.429,0,3,.000,3,6,.500,0,3,3,3,1,1,0,1,9,8.4,-6
6,Reggie Jackson,18:17,1,6,.167,1,4,.250,0,0,,0,3,3,0,0,0,0,0,3,0.1,-14
7,Christian Braun,16:56,0,2,.000,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,2,2,1.2,0
8,DeAndre Jordan,11:20,1,1,1.000,0,0,,0,0,,3,3,6,0,0,1,0,2,2,4.6,+4
9,Justin Holiday,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Jay Huff,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Zeke Nnaji,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jalen Pickett,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Hunter Tyson,Did Not Play,,,,,,,,,,,,,,,,,,,,
