,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Lauri Markkanen,35:38,12,18,.667,7,12,.583,2,2,1.000,3,9,12,3,1,0,2,5,33,29.1,+19
1,Collin Sexton,35:21,9,19,.474,3,7,.429,3,5,.600,2,2,4,13,2,0,3,0,24,23.6,+19
2,John Collins,31:45,9,13,.692,1,4,.250,1,2,.500,3,7,10,0,0,2,0,4,20,18.1,+10
3,Simone Fontecchio,27:11,2,6,.333,1,4,.250,0,0,,1,2,3,3,1,0,0,1,5,5.6,+8
4,Kris Dunn,16:41,3,4,.750,1,1,1.000,0,0,,2,2,4,6,1,1,1,1,7,11.9,+5
5,Jordan Clarkson,31:19,6,15,.400,1,5,.200,1,1,1.000,1,0,1,2,0,0,0,3,14,6.8,+7
6,Kelly Olynyk,17:41,2,2,1.000,1,1,1.000,1,2,.500,1,8,9,8,1,0,4,2,6,9.9,+1
7,Walker Kessler,16:15,5,6,.833,0,0,,0,0,,1,3,4,0,0,3,2,1,10,9.1,+2
8,Ochai Agbaji,15:30,2,5,.400,1,3,.333,0,0,,1,1,2,2,0,0,0,0,5,4.7,-4
9,Keyonte George,12:39,2,5,.400,1,4,.250,5,5,1.000,0,0,0,1,0,0,1,1,10,6.6,-7
10,Talen Horton-Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Luka Šamanić,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Omer Yurtseven,Did Not Play,,,,,,,,,,,,,,,,,,,,
