,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Mikal Bridges,39:51,7,16,.438,6,12,.500,1,3,.333,1,2,3,2,1,0,2,2,21,12.7,-4
1,Cam Thomas,33:12,11,19,.579,1,4,.250,2,2,1.000,2,0,2,4,2,0,2,2,25,19.5,-11
2,Nic Claxton,30:16,6,12,.500,0,0,,0,0,,1,8,9,4,1,0,1,3,12,10.7,-11
3,Spencer Dinwiddie,29:36,6,10,.600,2,4,.500,2,3,.667,0,2,2,5,0,0,0,1,16,14.7,-13
4,Cameron Johnson,29:28,6,12,.500,3,7,.429,3,3,1.000,0,2,2,1,2,1,3,3,18,11.8,+3
5,Lonnie Walker IV,30:35,7,16,.438,3,8,.375,2,2,1.000,1,2,3,7,4,0,2,4,19,17.2,-14
6,Royce O'Neale,20:31,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,5,3,0.3,-13
7,Dennis Smith Jr.,18:36,2,5,.400,0,1,.000,0,0,,3,2,5,2,1,0,0,2,4,5.6,-15
8,Trendon Watford,5:38,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,1,2,2.7,0
9,Harry Giles,2:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-2
10,Dorian Finney-Smith,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Day'Ron Sharpe,Did Not Dress,,,,,,,,,,,,,,,,,,,,
