,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,James Harden,33:36,1,10,.100,0,5,.000,2,2,1.000,1,2,3,6,1,0,1,1,4,2.5,+8
1,Kawhi Leonard,31:58,12,17,.706,6,8,.750,3,3,1.000,0,4,4,3,0,1,0,2,33,29.1,+18
2,Paul George,27:20,8,16,.500,2,5,.400,0,0,,0,4,4,7,3,1,0,3,18,18.6,+13
3,Mason Plumlee,25:53,5,7,.714,0,0,,2,3,.667,3,6,9,2,1,0,1,3,12,12.8,-4
4,Terance Mann,23:51,4,4,1.000,0,0,,4,4,1.000,1,0,1,0,0,0,1,1,12,10.1,-20
5,Norman Powell,25:27,6,11,.545,3,6,.500,0,0,,1,4,5,2,0,0,0,5,15,11.0,+19
6,Russell Westbrook,25:09,10,13,.769,2,3,.667,1,2,.500,1,2,3,9,2,0,2,2,23,24.3,+15
7,Amir Coffey,23:57,5,7,.714,1,1,1.000,3,3,1.000,0,4,4,0,4,1,1,0,14,16.0,+9
8,Daniel Theis,17:30,2,3,.667,0,1,.000,1,2,.500,0,3,3,2,1,2,2,3,5,4.8,+11
9,Brandon Boston Jr.,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-7
10,Kobe Brown,2:39,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
11,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,,
