,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Kyle Kuzma,36:14,.385,.344,.313,.125,0.0,10.4,5.2,4.4,0.0,0.0,0.0,20.9,78,115,-10.9
1,Deni Avdija,34:59,.805,.813,.250,.375,2.7,18.8,10.8,9.5,0.0,0.0,24.4,15.8,114,112,-3.1
2,Jordan Poole,32:36,.358,.333,.667,.143,0.0,11.5,5.8,52.3,3.0,2.6,4.3,32.0,86,107,1.5
3,Daniel Gafford,32:10,.564,.500,.000,.500,11.7,29.3,20.5,9.6,1.5,2.6,9.3,15.0,121,103,-0.2
4,Tyus Jones,25:53,.381,.286,.286,.286,0.0,3.6,1.8,33.4,1.9,0.0,11.3,15.4,93,113,-6.1
5,Corey Kispert,31:28,.705,.722,.778,.056,0.0,12.0,6.0,14.0,0.0,0.0,0.0,26.2,125,114,9.5
6,Bilal Coulibaly,25:12,.470,.250,.500,.750,0.0,14.9,7.5,16.3,1.9,3.3,15.8,11.2,98,107,-1.1
7,Landry Shamet,13:09,.396,.200,.400,.600,0.0,14.3,7.2,10.9,0.0,0.0,13.7,24.9,76,113,-11.8
8,Delon Wright,6:14,.750,.750,.500,.000,15.1,15.1,15.1,26.3,0.0,13.5,0.0,14.4,158,106,21.6
9,Johnny Davis,1:58,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,200,119,15.0
10,Anthony Gill,0:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-8.9
11,Patrick Baldwin Jr.,Did Not Play,,,,,,,,,,,,,,,
12,Jules Bernard,Did Not Play,,,,,,,,,,,,,,,
13,Eugene Omoruyi,Did Not Play,,,,,,,,,,,,,,,
