,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Anfernee Simons,36:52,.586,.565,.435,.174,2.9,9.8,6.1,23.0,3.0,0.0,7.5,34.4,122,135,5.5
1,Malcolm Brogdon,35:31,.384,.385,.154,.231,9.0,16.9,12.7,26.8,0.0,0.0,0.0,19.1,113,138,-5.8
2,Deandre Ayton,26:45,.581,.500,.000,.333,4.0,9.0,6.3,5.7,0.0,3.3,0.0,12.2,138,140,-3.6
3,Toumani Camara,23:47,.644,.500,.333,.667,0.0,10.1,4.7,0.0,4.6,3.7,11.4,17.5,122,129,0.6
4,Jabari Walker,21:15,.470,.429,.143,.143,20.1,22.6,21.3,0.0,0.0,0.0,11.8,18.8,111,136,-10.1
5,Scoot Henderson,37:09,.740,.633,.467,.800,5.7,9.7,7.6,9.7,0.0,0.0,9.0,28.4,148,141,4.7
6,Matisse Thybulle,23:05,.300,.300,.800,.000,0.0,5.2,2.4,0.0,2.4,3.8,0.0,10.3,71,136,-7.8
7,Duop Reath,20:31,.868,1.000,.500,1.000,5.2,17.5,11.0,7.8,2.7,4.3,14.8,15.6,150,130,6.6
8,Kris Murray,13:37,.000,.000,.000,.000,7.8,8.8,8.3,0.0,4.0,0.0,50.0,7.0,37,133,-8.7
9,Ibou Badji,0:44,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,145,-8.3
10,Justin Minaya,0:44,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,145,-7.4
11,Jerami Grant,Did Not Play,,,,,,,,,,,,,,,
