,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Harrison Barnes,37:29,9,14,.643,4,7,.571,0,2,.000,1,3,4,1,3,0,3,2,22,16.5,+7
1,De'Aaron Fox,35:07,11,21,.524,1,5,.200,2,6,.333,0,3,3,3,6,1,3,1,25,19.4,+7
2,Domantas Sabonis,34:51,9,14,.643,0,1,.000,8,9,.889,3,8,11,7,2,1,4,3,26,26.3,+7
3,Kevin Huerter,30:25,5,10,.500,3,6,.500,2,3,.667,2,3,5,6,0,0,4,5,15,10.1,+5
4,Keegan Murray,28:05,2,7,.286,1,6,.167,0,0,,1,0,1,1,0,0,0,0,5,2.3,+12
5,Malik Monk,27:02,9,14,.643,1,3,.333,4,6,.667,1,4,5,6,1,0,1,4,23,20.5,+6
6,Davion Mitchell,16:25,2,5,.400,0,2,.000,0,0,,0,2,2,1,1,0,1,0,4,2.6,-1
7,Trey Lyles,15:59,4,5,.800,3,4,.750,2,2,1.000,1,2,3,0,0,0,0,1,13,12.0,+1
8,Kessler Edwards,14:36,0,0,,0,0,,0,0,,0,4,4,1,2,1,0,1,0,4.2,+11
9,Chris Duarte,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Keon Ellis,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Colby Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Alex Len,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,JaVale McGee,Did Not Play,,,,,,,,,,,,,,,,,,,,
