,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Scottie Barnes,48:09,8,15,.533,3,5,.600,0,1,.000,3,4,7,9,0,1,3,3,19,17.4,+4
1,RJ Barrett,43:24,9,16,.563,2,5,.400,3,4,.750,1,6,7,4,1,1,4,3,23,16.8,-13
2,Immanuel Quickley,42:37,7,20,.350,2,9,.222,1,2,.500,1,2,3,11,1,0,1,1,17,14.0,-1
3,Gary Trent Jr.,39:30,6,15,.400,4,8,.500,0,0,,0,6,6,0,2,0,1,2,16,9.9,-9
4,Jakob Poeltl,33:20,8,9,.889,0,0,,3,4,.750,3,9,12,3,0,2,2,5,19,19.8,-6
5,Dennis Schröder,35:57,5,16,.313,3,6,.500,6,6,1.000,2,6,8,4,1,0,0,1,19,16.4,-23
6,Thaddeus Young,18:57,3,4,.750,0,1,.000,0,0,,1,4,5,4,1,1,0,1,6,10.4,+2
7,Bruce Brown,17:43,0,4,.000,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,0,2,0.6,+2
8,Gradey Dick,10:23,2,2,1.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,6,6.1,+4
9,Chris Boucher,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jordan Nwora,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,,,,,,
