,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,D'Angelo Russell,39:40,10,21,.476,5,12,.417,3,3,1.000,0,4,4,6,1,0,3,2,28,19.9,-2
1,LeBron James,39:32,12,22,.545,0,5,.000,2,3,.667,0,4,4,7,1,1,4,2,26,18.0,+2
2,Anthony Davis,37:08,12,16,.750,0,2,.000,2,2,1.000,3,12,15,11,0,3,2,1,26,32.7,+16
3,Austin Reaves,36:10,3,8,.375,0,5,.000,3,3,1.000,0,4,4,11,1,1,5,3,9,9.0,+15
4,Rui Hachimura,29:13,4,6,.667,1,3,.333,0,0,,1,4,5,0,1,0,0,1,9,8.9,+6
5,Taurean Prince,19:27,4,7,.571,1,4,.250,0,2,.000,1,3,4,1,0,0,2,0,9,5.2,+2
6,Max Christie,18:01,2,3,.667,0,1,.000,2,2,1.000,0,3,3,0,0,1,0,1,6,5.9,-2
7,Jaxson Hayes,10:52,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,0,1,0,1.2,-10
8,Christian Wood,9:57,3,5,.600,1,2,.500,4,4,1.000,1,5,6,0,0,0,0,1,11,10.5,+3
9,Jalen Hood-Schifino,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Maxwell Lewis,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Skylar Mays,Did Not Play,,,,,,,,,,,,,,,,,,,,
