,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jae Crowder,37:21,7,11,.636,4,5,.800,3,3,1.000,1,7,8,5,1,0,0,2,21,22.6,-15
1,Pat Connaughton,37:17,4,6,.667,1,2,.500,0,0,,1,1,2,9,0,1,4,2,9,9.6,-12
2,Malik Beasley,32:48,1,13,.077,0,9,.000,1,2,.500,2,2,4,3,1,0,1,0,3,-2.0,-13
3,Giannis Antetokounmpo,27:21,7,14,.500,0,2,.000,3,7,.429,1,2,3,7,1,0,3,1,17,12.2,-18
4,Brook Lopez,25:43,5,8,.625,2,4,.500,0,0,,1,4,5,2,1,2,0,1,12,13.7,-21
5,Bobby Portis,29:12,5,12,.417,0,2,.000,2,2,1.000,4,5,9,3,1,0,3,3,12,8.8,-21
6,A.J. Green,21:48,9,11,.818,7,8,.875,2,2,1.000,0,2,2,3,0,0,1,0,27,24.6,-7
7,Andre Jackson Jr.,17:42,0,2,.000,0,0,,0,0,,0,1,1,3,1,0,1,0,0,1.0,-11
8,Thanasis Antetokounmpo,5:24,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1
9,MarJon Beauchamp,5:24,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,1.3,-1
10,Damian Lillard,Did Not Dress,,,,,,,,,,,,,,,,,,,,
