,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Devin Vassell,35:21,11,18,.611,3,7,.429,5,6,.833,1,4,5,4,0,0,2,0,30,24.1,-14
1,Jeremy Sochan,28:10,4,9,.444,1,4,.250,0,0,,0,2,2,1,0,0,2,1,9,3.2,-26
2,Tre Jones,22:57,3,8,.375,0,2,.000,4,4,1.000,1,0,1,6,3,0,1,1,10,12.1,-17
3,Victor Wembanyama,22:32,6,12,.500,2,4,.500,1,1,1.000,0,1,1,2,1,3,5,1,15,8.4,-11
4,Julian Champagnie,21:01,2,4,.500,1,3,.333,3,3,1.000,1,4,5,2,0,0,0,0,8,9.3,-12
5,Zach Collins,25:28,5,6,.833,0,1,.000,2,2,1.000,0,3,3,3,0,2,1,4,12,11.6,-5
6,Blake Wesley,25:03,4,5,.800,1,2,.500,1,1,1.000,1,1,2,7,1,0,1,4,10,12.4,+1
7,Keldon Johnson,24:03,5,12,.417,2,7,.286,0,0,,0,4,4,1,0,0,1,1,12,6.1,+5
8,Malaki Branham,20:00,1,5,.200,0,3,.000,0,0,,0,3,3,3,1,0,1,3,2,0.7,-5
9,Cedi Osman,15:25,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,1,3,2.9,+4
10,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Sandro Mamukelashvili,Did Not Play,,,,,,,,,,,,,,,,,,,,
