,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Miles Bridges,31:22,.295,.188,.375,.375,3.0,12.2,7.6,19.2,0.0,0.0,5.1,28.7,68,128,-10.1
1,Leaky Black,30:10,.694,.500,.000,1.000,3.1,15.9,9.5,12.5,0.0,0.0,41.0,7.4,98,126,-8.1
2,Nick Richards,29:54,.775,.778,.000,.333,6.3,28.9,17.5,0.0,0.0,3.8,16.2,18.9,123,120,0.7
3,Brandon Miller,29:05,.405,.361,.333,.222,6.5,13.2,9.8,29.0,1.7,3.9,9.2,34.3,82,121,-2.4
4,Cody Martin,24:11,.253,.222,.333,.222,3.9,15.9,9.8,43.1,0.0,0.0,23.3,24.4,58,126,-13.2
5,Bryce McGowens,30:21,.638,.600,.500,.400,0.0,15.8,7.8,0.0,1.6,0.0,7.8,19.3,112,122,-2.5
6,Nick Smith Jr.,23:49,.481,.300,.800,.800,0.0,12.1,6.0,26.3,0.0,0.0,12.9,29.9,93,128,-2.7
7,JT Thor,18:46,.000,.000,.000,.000,0.0,15.3,7.6,0.0,0.0,0.0,0.0,2.4,0,127,-12.3
8,Nathan Mensah,18:06,.667,.667,.000,.000,5.2,15.9,10.5,0.0,0.0,0.0,0.0,7.6,136,126,-7.8
9,Amari Bailey,4:16,.000,.000,1.000,.000,0.0,0.0,0.0,41.7,0.0,0.0,0.0,10.7,41,131,-11.4
10,Dāvis Bertāns,Not With Team,,,,,,,,,,,,,,,
11,Tre Mann,Not With Team,,,,,,,,,,,,,,,
