,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Pascal Siakam,34:45,8,12,.667,1,3,.333,1,2,.500,0,5,5,4,2,0,0,1,18,18.3,-5
1,Tyrese Haliburton,34:10,5,15,.333,3,8,.375,0,0,,1,5,6,12,0,0,3,1,13,11.7,+10
2,Aaron Nesmith,33:21,8,13,.615,1,4,.250,4,7,.571,0,3,3,1,0,0,2,3,21,12.3,-2
3,Andrew Nembhard,33:11,5,7,.714,0,1,.000,0,0,,0,2,2,7,3,0,0,2,10,14.8,+8
4,Myles Turner,31:26,8,13,.615,1,5,.200,5,5,1.000,0,5,5,1,2,2,1,1,22,20.3,+6
5,Obi Toppin,16:54,2,5,.400,2,4,.500,0,0,,1,3,4,1,0,0,1,0,6,4.6,-8
6,Isaiah Jackson,16:34,2,3,.667,0,0,,0,2,.000,0,2,2,1,2,1,0,1,4,5.5,-15
7,T.J. McConnell,14:49,4,7,.571,0,0,,0,0,,0,3,3,2,0,0,3,1,8,3.6,-17
8,Bennedict Mathurin,14:39,0,4,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,0,0,-2.5,-7
9,Doug McDermott,7:39,0,4,.000,0,4,.000,0,0,,0,0,0,1,0,0,0,1,0,-2.5,-12
10,Ben Sheppard,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
11,Oscar Tshiebwe,Did Not Play,,,,,,,,,,,,,,,,,,,,
