,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Paolo Banchero,35:27,9,15,.600,0,3,.000,5,6,.833,0,6,6,10,0,1,4,1,23,20.8,-7
1,Franz Wagner,34:04,5,16,.313,1,5,.200,4,4,1.000,1,6,7,2,0,0,2,2,15,6.9,-8
2,Jalen Suggs,33:10,5,13,.385,4,12,.333,3,4,.750,3,4,7,4,1,0,2,4,17,13.0,-3
3,Wendell Carter Jr.,30:47,9,14,.643,1,4,.250,3,3,1.000,0,6,6,1,0,0,3,5,22,13.3,+2
4,Markelle Fultz,18:28,2,5,.400,0,0,,0,0,,4,3,7,4,1,0,1,0,4,7.8,+5
5,Gary Harris,24:45,2,3,.667,2,3,.667,0,0,,1,1,2,1,1,2,1,2,6,7.0,-8
6,Jonathan Isaac,15:02,1,6,.167,0,3,.000,1,2,.500,0,1,1,1,2,0,1,1,3,0.4,-24
7,Moritz Wagner,14:08,4,7,.571,0,1,.000,3,4,.750,4,1,5,0,0,0,1,2,11,8.6,-17
8,Cole Anthony,12:27,2,8,.250,1,2,.500,0,0,,1,3,4,1,1,0,0,1,5,3.1,-14
9,Joe Ingles,9:44,0,1,.000,0,0,,0,0,,0,1,1,3,0,0,0,0,0,1.7,-11
10,Jett Howard,2:23,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6,+3
11,Chuma Okeke,2:23,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+3
12,Anthony Black,2:23,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-0.4,+3
13,Goga Bitadze,2:23,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+3
14,Caleb Houstan,2:23,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+3
