,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jalen Johnson,37:59,9,18,.500,0,5,.000,1,2,.500,5,7,12,0,0,2,2,3,19,13.4,-20
1,Trae Young,34:26,4,12,.333,2,8,.250,2,2,1.000,1,1,2,12,0,0,4,4,12,9.0,-15
2,Saddiq Bey,31:39,5,13,.385,2,5,.400,2,2,1.000,3,1,4,1,0,1,1,0,14,9.7,-28
3,Dejounte Murray,31:39,5,15,.333,1,7,.143,2,3,.667,2,5,7,4,1,2,3,2,13,8.4,-28
4,Bruno Fernando,25:49,2,5,.400,0,0,,2,2,1.000,3,9,12,1,1,1,0,5,6,8.5,-21
5,Bogdan Bogdanović,28:57,4,9,.444,2,5,.400,2,2,1.000,1,4,5,4,1,0,5,1,12,7.6,-2
6,De'Andre Hunter,28:16,6,12,.500,2,4,.500,7,7,1.000,0,3,3,1,1,0,0,4,21,16.0,-4
7,Garrison Mathews,16:21,0,3,.000,0,3,.000,0,0,,0,0,0,0,1,0,0,1,0,-1.5,+5
8,Kobe Bufkin,2:27,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,0.0,-1
9,Vit Krejci,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
10,Patty Mills,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Onyeka Okongwu,Did Not Dress,,,,,,,,,,,,,,,,,,,,
