,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Mikal Bridges,26:06,4,12,.333,2,6,.333,0,0,,1,3,4,4,1,0,1,0,10,7.6,-30
1,Cam Thomas,25:07,1,9,.111,1,5,.200,2,2,1.000,0,1,1,2,1,0,1,1,5,0.4,-35
2,Nic Claxton,20:43,3,6,.500,0,0,,0,0,,2,6,8,3,0,0,1,0,6,7.3,-26
3,Dennis Schröder,17:50,2,8,.250,0,1,.000,0,0,,0,3,3,1,0,0,1,1,4,-0.6,-27
4,Dorian Finney-Smith,14:20,1,4,.250,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,1.5,-15
5,Trendon Watford,25:33,5,7,.714,2,2,1.000,3,3,1.000,0,2,2,1,0,0,0,4,15,11.8,-26
6,Jalen Wilson,19:18,2,5,.400,0,1,.000,0,0,,0,1,1,2,0,0,0,0,4,3.0,-16
7,Dennis Smith Jr.,18:10,3,7,.429,1,4,.250,0,0,,0,0,0,5,1,0,1,2,7,6.0,-19
8,Cameron Johnson,17:43,1,5,.200,1,3,.333,1,2,.500,0,3,3,2,0,1,1,0,4,2.5,-20
9,Day'Ron Sharpe,13:02,2,2,1.000,1,1,1.000,2,2,1.000,2,1,3,2,1,0,2,2,7,7.7,-15
10,Keon Johnson,12:00,2,5,.400,1,3,.333,4,4,1.000,0,1,1,2,0,0,1,0,9,7.0,-4
11,Keita Bates-Diop,12:00,3,4,.750,1,1,1.000,0,0,,0,1,1,0,1,0,1,0,7,5.7,-4
12,Lonnie Walker IV,10:08,2,7,.286,0,2,.000,0,0,,1,1,2,1,0,0,1,1,4,0.2,-14
13,Noah Clowney,8:00,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,1.7,+1
