,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Buddy Hield,44:18,8,15,.533,5,11,.455,1,1,1.000,0,3,3,10,2,0,5,4,22,18.0,-8
1,Tyrese Maxey,39:24,12,23,.522,2,7,.286,4,4,1.000,1,5,6,7,0,0,3,2,30,22.0,-3
2,Paul Reed,39:08,7,12,.583,1,1,1.000,3,3,1.000,3,9,12,2,0,1,0,3,18,18.1,-5
3,Kelly Oubre Jr.,32:40,4,11,.364,0,4,.000,1,2,.500,0,3,3,2,1,0,1,6,9,2.4,-8
4,KJ Martin,28:09,4,7,.571,1,2,.500,0,0,,1,4,5,3,0,0,2,1,9,7.3,-2
5,Ricky Council IV,22:40,5,10,.500,1,4,.250,2,2,1.000,0,4,4,2,0,0,1,1,13,9.2,-2
6,Cameron Payne,21:59,1,7,.143,0,5,.000,0,0,,1,2,3,3,0,0,0,1,2,0.5,+3
7,Mo Bamba,8:52,0,0,,0,0,,1,4,.250,0,3,3,0,0,0,2,2,1,-2.1,0
8,Terquavion Smith,2:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
9,Nicolas Batum,Did Not Dress,,,,,,,,,,,,,,,,,,,,
10,Kenneth Lofton Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
