,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Kyrie Irving,32:55,15,22,.682,4,9,.444,0,0,,1,8,9,7,2,1,1,1,34,33.9,+17
1,Luka Dončić,31:19,11,20,.550,1,8,.125,4,4,1.000,0,9,9,8,2,1,5,2,27,22.6,+25
2,P.J. Washington,27:52,1,6,.167,1,3,.333,0,2,.000,1,5,6,2,0,1,1,2,3,0.9,+19
3,Daniel Gafford,22:57,5,7,.714,0,0,,0,0,,2,8,10,2,0,1,2,4,10,9.4,+2
4,Josh Green,18:05,3,4,.750,2,2,1.000,0,0,,1,2,3,2,0,0,0,2,8,8.3,+12
5,Tim Hardaway Jr.,26:18,3,7,.429,2,4,.500,0,0,,0,2,2,5,1,0,3,2,8,5.6,+11
6,Jaden Hardy,20:13,6,12,.500,1,3,.333,0,0,,0,2,2,1,0,1,0,0,13,9.0,+7
7,Derrick Jones Jr.,19:00,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,0,0,-1.1,+7
8,Dereck Lively II,17:08,3,5,.600,0,0,,2,2,1.000,1,4,5,1,0,4,0,0,8,11.1,+27
9,Dwight Powell,7:55,1,2,.500,0,0,,1,2,.500,0,2,2,0,0,0,1,0,3,1.2,-6
10,Olivier-Maxence Prosper,5:26,1,2,.500,0,0,,0,0,,1,1,2,0,1,1,1,0,2,2.7,-2
11,A.J. Lawson,5:26,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-2
12,Brandon Williams,5:26,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-2
13,Markieff Morris,Did Not Play,,,,,,,,,,,,,,,,,,,,
