,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Brandon Ingram,34:33,6,13,.462,2,3,.667,4,6,.667,1,2,3,8,2,0,1,4,18,16.8,-15
1,Zion Williamson,34:03,15,21,.714,0,0,,6,9,.667,2,4,6,8,0,1,1,2,36,33.2,+2
2,CJ McCollum,33:17,9,17,.529,3,9,.333,5,5,1.000,0,3,3,6,1,0,0,2,26,23.0,-11
3,Herbert Jones,27:23,2,6,.333,0,2,.000,2,2,1.000,0,6,6,1,0,1,2,4,6,2.2,+10
4,Jonas Valančiūnas,15:28,5,6,.833,0,0,,0,0,,2,3,5,3,0,1,1,1,10,11.5,-3
5,Trey Murphy III,30:42,3,9,.333,3,9,.333,4,4,1.000,0,5,5,3,3,2,0,3,13,14.7,+18
6,Naji Marshall,23:57,6,8,.750,1,3,.333,0,0,,0,2,2,1,3,0,3,2,13,10.3,+21
7,Jose Alvarado,21:43,3,7,.429,0,4,.000,1,1,1.000,0,3,3,3,2,0,0,2,7,7.5,+17
8,Larry Nance Jr.,18:54,1,2,.500,1,2,.500,1,2,.500,3,3,6,3,3,1,2,1,4,9.0,-4
9,Jordan Hawkins,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,E.J. Liddell,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Jeremiah Robinson-Earl,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Matt Ryan,Did Not Play,,,,,,,,,,,,,,,,,,,,
