,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Keyonte George,40:33,11,22,.500,9,16,.563,2,3,.667,0,2,2,6,3,0,2,6,33,25.0,+7
1,Lauri Markkanen,33:57,6,23,.261,4,11,.364,4,4,1.000,5,9,14,3,0,0,1,1,20,13.2,+8
2,Collin Sexton,33:52,10,18,.556,3,8,.375,12,13,.923,1,2,3,9,1,1,3,2,35,31.5,+15
3,John Collins,30:35,8,14,.571,1,3,.333,1,1,1.000,4,9,13,2,1,1,1,4,18,17.4,0
4,Walker Kessler,25:19,1,2,.500,0,1,.000,2,2,1.000,3,3,6,2,1,1,1,3,4,6.9,+1
5,Jordan Clarkson,33:19,3,8,.375,1,5,.200,6,7,.857,2,0,2,9,0,0,3,2,13,12.1,-12
6,Kris Dunn,20:57,2,3,.667,2,3,.667,2,2,1.000,1,4,5,1,2,0,3,2,8,7.5,-13
7,Taylor Hendricks,15:59,1,1,1.000,1,1,1.000,0,0,,1,2,3,0,2,0,2,0,3,4.0,-12
8,Talen Horton-Tucker,5:29,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,1.9,-9
9,Kira Lewis Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Luka Šamanić,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Brice Sensabaugh,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Omer Yurtseven,Did Not Play,,,,,,,,,,,,,,,,,,,,
