,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Miles Bridges,40:30,10,20,.500,4,6,.667,2,4,.500,3,11,14,4,0,0,1,3,26,21.2,+12
1,Brandon Miller,38:09,6,16,.375,3,9,.333,1,1,1.000,0,3,3,5,4,0,1,3,16,13.4,-3
2,Cody Martin,30:55,2,7,.286,1,3,.333,0,0,,0,5,5,2,3,1,3,3,5,3.3,0
3,Tre Mann,29:39,4,8,.500,2,3,.667,3,4,.750,1,5,6,4,2,0,1,4,13,13.0,+2
4,Nick Richards,28:18,3,5,.600,0,0,,2,4,.500,6,4,10,3,1,2,0,2,8,14.0,+1
5,Grant Williams,27:12,7,16,.438,6,11,.545,4,4,1.000,0,0,0,2,1,0,0,3,24,16.8,+3
6,Vasilije Micić,19:42,1,9,.111,0,3,.000,2,4,.500,1,1,2,8,0,0,2,3,4,0.7,+15
7,Seth Curry,19:08,4,8,.500,1,4,.250,1,1,1.000,1,1,2,0,0,0,1,0,10,6.0,+3
8,Dāvis Bertāns,6:27,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,0,0,0,2,9,7.3,+7
9,Marques Bolden,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Bryce McGowens,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,JT Thor,Did Not Play,,,,,,,,,,,,,,,,,,,,
