,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Ausar Thompson,35:06,5,10,.500,0,2,.000,1,4,.250,3,4,7,5,2,3,0,2,11,14.9,-7
1,Simone Fontecchio,33:14,6,12,.500,2,6,.333,0,0,,0,1,1,0,0,0,1,1,14,6.9,-3
2,Jaden Ivey,31:58,5,11,.455,1,3,.333,3,4,.750,1,1,2,3,0,0,1,2,14,9.2,+6
3,Cade Cunningham,30:17,13,21,.619,4,9,.444,0,0,,0,5,5,8,1,0,3,4,30,24.0,+10
4,Jalen Duren,30:09,7,11,.636,0,0,,1,1,1.000,2,11,13,2,0,0,4,3,15,11.0,-3
5,James Wiseman,17:51,2,3,.667,0,0,,2,5,.400,0,5,5,2,0,1,1,3,6,4.9,-11
6,Evan Fournier,17:34,3,4,.750,3,4,.750,1,2,.500,0,4,4,0,0,0,1,1,10,7.8,-18
7,Troy Brown Jr.,12:50,1,4,.250,0,2,.000,0,0,,0,2,2,2,0,0,1,1,2,0.2,-11
8,Malachi Flynn,11:11,1,5,.200,0,1,.000,0,0,,0,1,1,3,2,0,2,2,2,0.5,-12
9,Marcus Sasser,10:00,3,6,.500,2,2,1.000,1,2,.500,0,1,1,2,1,0,1,1,9,6.9,-9
10,Shake Milton,9:50,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-12
11,Tosan Evbuomwan,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Mike Muscala,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Isaiah Stewart,Not With Team,,,,,,,,,,,,,,,,,,,,
