,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Herbert Jones,36:48,6,9,.667,3,5,.600,2,3,.667,1,4,5,4,7,0,1,4,17,21.8,+36
1,Zion Williamson,34:57,12,21,.571,0,0,,3,4,.750,1,2,3,9,2,1,3,1,27,23.6,+17
2,Trey Murphy III,34:22,4,12,.333,2,10,.200,3,6,.500,0,3,3,1,3,3,1,3,13,9.5,+20
3,CJ McCollum,31:18,11,22,.500,4,10,.400,2,3,.667,1,5,6,6,0,0,2,1,28,20.6,+25
4,Jonas Valančiūnas,27:28,9,12,.750,2,2,1.000,0,0,,3,11,14,3,1,0,1,3,20,21.5,+9
5,Jose Alvarado,20:11,4,8,.500,2,5,.400,1,2,.500,1,1,2,7,1,2,3,1,11,11.5,-2
6,Naji Marshall,19:53,2,5,.400,2,4,.500,0,0,,0,2,2,3,1,0,0,2,6,6.2,+4
7,Jordan Hawkins,17:05,1,6,.167,1,5,.200,0,0,,0,2,2,0,0,0,0,3,3,-1.4,-6
8,Larry Nance Jr.,11:40,0,0,,0,0,,0,0,,1,2,3,1,0,0,2,3,0,-1.2,+4
9,Cody Zeller,2:06,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,0,2,3.4,+1
10,Jeremiah Robinson-Earl,2:06,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
11,Matt Ryan,2:06,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+1
