,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Darius Garland,38:22,6,13,.462,2,6,.333,6,6,1.000,0,5,5,9,2,0,3,1,20,19.7,-1
1,Jarrett Allen,35:43,10,16,.625,0,0,,4,8,.500,0,9,9,0,0,1,1,3,24,16.4,-4
2,Max Strus,35:14,5,9,.556,2,6,.333,2,3,.667,1,0,1,6,2,1,1,1,14,15.5,-7
3,Isaac Okoro,28:59,5,11,.455,1,3,.333,0,0,,1,1,2,4,0,2,0,1,11,10.1,-9
4,Evan Mobley,26:35,3,8,.375,0,0,,2,6,.333,2,8,10,0,0,1,4,4,8,0.9,-11
5,Caris LeVert,25:08,1,11,.091,0,4,.000,4,4,1.000,1,4,5,4,0,2,1,2,6,3.0,+3
6,Georges Niang,21:10,2,4,.500,2,3,.667,3,4,.750,0,5,5,0,0,0,0,3,9,6.9,-6
7,Sam Merrill,12:19,1,4,.250,1,4,.250,0,0,,0,3,3,0,1,0,0,0,3,2.5,0
8,Dean Wade,11:01,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,1,0,0,0,0.9,+6
9,Craig Porter Jr.,5:28,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.0,-6
10,Ty Jerome,Not With Team,,,,,,,,,,,,,,,,,,,,
11,Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,
