,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jerami Grant,37:08,9,21,.429,3,6,.500,4,7,.571,1,1,2,4,3,0,3,2,25,15.7,-17
1,Anfernee Simons,36:28,8,15,.533,3,6,.500,2,2,1.000,0,3,3,8,1,0,1,4,21,18.6,-24
2,Kris Murray,35:19,4,10,.400,0,4,.000,1,2,.500,3,5,8,2,1,0,0,4,9,7.6,-7
3,Deandre Ayton,35:03,11,17,.647,0,0,,0,0,,3,7,10,3,0,0,1,3,22,18.6,-20
4,Toumani Camara,24:27,3,7,.429,0,1,.000,0,0,,4,2,6,2,1,0,3,0,6,5.1,0
5,Matisse Thybulle,20:00,1,5,.200,1,2,.500,0,0,,0,2,2,2,4,0,0,1,3,5.5,-11
6,Dalano Banton,19:35,5,9,.556,1,3,.333,3,4,.750,0,1,1,3,0,0,0,1,14,11.3,-11
7,Jabari Walker,14:11,1,5,.200,0,0,,0,0,,4,2,6,0,0,0,1,0,2,1.3,-4
8,Duop Reath,12:57,3,10,.300,0,3,.000,2,3,.667,3,3,6,1,1,2,1,1,8,6.5,+5
9,Ashton Hagans,2:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,+7
10,Justin Minaya,2:26,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+7
11,Malcolm Brogdon,Did Not Dress,,,,,,,,,,,,,,,,,,,,
